name,artist,album,release_date
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",CHROMAKOPIA,2024-10-28
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16
Sailor Song,Gigi Perez,Sailor Song,2024-07-26
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17
Like Him (feat. Lola Young),"Tyler, The Creator",CHROMAKOPIA,2024-10-28
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23
Who,Jimin,MUSE,2024-07-19
Timeless (with Playboi Carti),The Weeknd,Timeless,2024-09-27
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",CHROMAKOPIA,2024-10-28
APT.,ROSÉ,APT.,2024-10-18
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,2017-07-21
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21
Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23
No One Noticed,The Marías,Submarine,2024-05-31
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",2024-05-31
I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2024-08-15
Bed Chem,Sabrina Carpenter,Short n' Sweet,2024-08-23
Tu Boda,Oscar Maydon,Tu Boda,2024-09-26
Please Please Please,Sabrina Carpenter,Short n' Sweet,2024-08-23
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",CHROMAKOPIA,2024-10-28
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15
WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,GLORIOUS,2024-10-11
